"Nível";"Cód.";"";"Trimestre Móvel";""
"BR";"1";"Brasil";"jun-jul-ago 2019";"3162";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2019";"3161";"Reais"
"BR";"1";"Brasil";"ago-set-out 2019";"3185";"Reais"
"BR";"1";"Brasil";"set-out-nov 2019";"3199";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2019";"3189";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2020";"3196";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2020";"3199";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2020";"3226";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2020";"3261";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2020";"3315";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2020";"3366";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2020";"3406";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2020";"3401";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2020";"3404";"Reais"
"BR";"1";"Brasil";"ago-set-out 2020";"3354";"Reais"
"BR";"1";"Brasil";"set-out-nov 2020";"3318";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2020";"3268";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2021";"3261";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2021";"3231";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2021";"3241";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2021";"3202";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2021";"3200";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2021";"3151";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2021";"3123";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2021";"3079";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2021";"3025";"Reais"
"BR";"1";"Brasil";"ago-set-out 2021";"2980";"Reais"
"BR";"1";"Brasil";"set-out-nov 2021";"2941";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2021";"2917";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2022";"2946";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2022";"2949";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2022";"2961";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2022";"2949";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2022";"2969";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2022";"2991";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2022";"3034";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2022";"3059";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2022";"3101";"Reais"
"BR";"1";"Brasil";"ago-set-out 2022";"3121";"Reais"
"BR";"1";"Brasil";"set-out-nov 2022";"3151";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2022";"3158";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2023";"3172";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2023";"3171";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2023";"3179";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2023";"3169";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2023";"3164";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2023";"3178";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2023";"3189";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2023";"3198";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2023";"3231";"Reais"
"BR";"1";"Brasil";"ago-set-out 2023";"3242";"Reais"
"BR";"1";"Brasil";"set-out-nov 2023";"3271";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2023";"3257";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2024";"3293";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2024";"3307";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2024";"3305";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2024";"3319";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2024";"3340";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2024";"3362";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2024";"3343";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2024";"3360";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2024";"3349";"Reais"
"BR";"1";"Brasil";"ago-set-out 2024";"3368";"Reais"
"BR";"1";"Brasil";"set-out-nov 2024";"3383";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2024";"3397";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2025";"3414";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2025";"3427";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2025";"3436";"Reais"
