Data;22707 - Balança comercial - Balanço de Pagamentos - mensal - saldo - US$ (milhões)
01/2012;-1.558,0
02/2012;1.513,1
03/2012;1.811,3
04/2012;666,9
05/2012;2.771,9
06/2012;610,1
07/2012;2.682,1
08/2012;3.018,9
09/2012;2.362,9
10/2012;1.357,6
11/2012;-375,1
12/2012;2.046,8
01/2013;-4.183,8
02/2013;-1.440,6
03/2013;15,4
04/2013;-1.161,2
05/2013;593,8
06/2013;2.126,9
07/2013;-2.072,5
08/2013;1.025,9
09/2013;1.794,4
10/2013;-402,9
11/2013;1.533,3
12/2013;2.540,2
01/2014;-3.890,6
02/2014;-2.344,0
03/2014;-140,0
04/2014;285,3
05/2014;423,9
06/2014;2.122,5
07/2014;1.291,1
08/2014;903,2
09/2014;-1.145,1
10/2014;-1.473,2
11/2014;-2.707,2
12/2014;-65,1
01/2015;-2.877,8
02/2015;-3.097,7
03/2015;148,9
04/2015;272,6
05/2015;2.449,9
06/2015;4.309,9
07/2015;2.625,7
08/2015;2.366,0
09/2015;2.624,1
10/2015;1.676,4
11/2015;898,9
12/2015;6.048,0
01/2016;1.116,2
02/2016;2.777,9
03/2016;4.123,3
04/2016;4.542,3
05/2016;6.127,1
06/2016;3.631,6
07/2016;4.245,1
08/2016;3.830,9
09/2016;3.522,7
10/2016;2.039,4
11/2016;4.448,4
12/2016;4.139,2
01/2017;2.427,0
02/2017;4.368,2
03/2017;6.418,6
04/2017;6.125,7
05/2017;6.712,1
06/2017;6.268,8
07/2017;5.383,9
08/2017;4.547,9
09/2017;4.301,4
10/2017;4.128,1
11/2017;2.576,3
12/2017;4.141,1
01/2018;1.771,0
02/2018;2.021,5
03/2018;5.419,4
04/2018;4.586,2
05/2018;5.039,5
06/2018;4.675,1
07/2018;2.717,0
08/2018;1.414,9
09/2018;3.949,4
10/2018;4.534,0
11/2018;2.822,7
12/2018;5.397,6
01/2019;195,7
02/2019;1.819,0
03/2019;2.994,8
04/2019;4.139,7
05/2019;4.112,2
06/2019;3.935,6
07/2019;681,4
08/2019;1.504,3
09/2019;2.393,6
10/2019;954,9
11/2019;2.102,2
12/2019;4.734,0
01/2020;-3.284,7
02/2020;931,5
03/2020;2.297,1
04/2020;4.890,9
05/2020;3.239,3
06/2020;6.109,4
07/2020;6.895,9
08/2020;5.226,2
09/2020;4.741,0
10/2020;3.960,1
11/2020;2.121,4
12/2020;-1.464,4
01/2021;-2.200,5
02/2021;28,2
03/2021;-158,4
04/2021;9.337,7
05/2021;8.132,8
06/2021;8.146,5
07/2021;6.844,0
08/2021;6.155,4
09/2021;2.947,9
10/2021;1.617,5
11/2021;-1.760,3
12/2021;3.221,3
01/2022;-832,0
02/2022;4.044,2
03/2022;6.681,2
04/2022;7.522,7
05/2022;4.269,3
06/2022;8.032,6
07/2022;4.624,0
08/2022;3.237,8
09/2022;2.548,4
10/2022;2.568,0
11/2022;5.299,9
12/2022;3.525,7
01/2023;1.659,5
02/2023;2.838,3
03/2023;10.014,5
04/2023;8.126,6
05/2023;10.264,8
06/2023;9.298,8
07/2023;7.586,2
08/2023;8.840,3
09/2023;8.476,2
10/2023;8.589,3
11/2023;7.999,4
12/2023;8.581,8
01/2024;5.562,8
02/2024;4.386,7
03/2024;6.352,1
04/2024;7.798,3
05/2024;7.503,1
06/2024;5.661,2
07/2024;6.981,6
08/2024;3.717,9
09/2024;4.524,5
10/2024;3.189,2
11/2024;6.043,1
12/2024;4.122,0
01/2025;1.351,3
02/2025;-1.127,3
03/2025;7.239,9
Fonte;BCB-DSTAT
