"Nível";"Cód.";"";"Mês";""
"BR";"1";"Brasil";"dezembro 2008";"2892,8600000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2009";"2906,7400000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2009";"2922,7300000000000";"Número-índice"
"BR";"1";"Brasil";"março 2009";"2928,5700000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2009";"2942,6300000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2009";"2956,4600000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2009";"2967,1000000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2009";"2974,2200000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2009";"2978,6800000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2009";"2985,8300000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2009";"2994,1900000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2009";"3006,4700000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2009";"3017,5900000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2010";"3040,2200000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2010";"3063,9300000000000";"Número-índice"
"BR";"1";"Brasil";"março 2010";"3079,8600000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2010";"3097,4200000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2010";"3110,7400000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2010";"3110,7400000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2010";"3111,0500000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2010";"3112,2900000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2010";"3126,2900000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2010";"3149,7400000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2010";"3175,8800000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2010";"3195,8900000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2011";"3222,4200000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2011";"3248,2000000000000";"Número-índice"
"BR";"1";"Brasil";"março 2011";"3273,8600000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2011";"3299,0700000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2011";"3314,5800000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2011";"3319,5500000000000";"Número-índice"
