"Tabela 8883 - Índice e variação da receita nominal e do volume de vendas no comércio varejista ampliado, por atividades (2022 = 100)"
"Variável - PMC - Número-índice (2022=100) (Número-índice)"
"Nível";"Cód.";"";"Atividades";"Mês";"Tipos de índice"
"Nível";"Cód.";"";"Atividades";"Mês";"Índice de receita nominal de vendas no comércio varejista ampliado";"Índice de volume de vendas no comércio varejista ampliado"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2006";"41,55222";"86,65683"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2006";"42,42118";"87,89656"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2006";"49,92586";"102,77327"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2006";"96,05989";"194,76092"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2007";"39,65630";"81,20204"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2007";"34,28453";"70,78834"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2007";"40,52527";"83,06163"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2007";"42,18419";"86,16094"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2007";"59,80044";"121,36916"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2007";"52,53275";"105,74861"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2007";"49,13590";"99,54998"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2007";"50,71583";"102,40135"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2007";"46,13403";"92,73149"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2007";"50,63683";"101,28560"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2007";"57,90452";"115,41847"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2007";"108,46236";"213,60475"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2008";"47,16098";"93,72327"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2008";"39,89329";"79,59040"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2008";"47,00299";"93,10341"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2008";"53,00673";"103,14519"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2008";"65,48820";"125,95614"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2008";"60,98539";"116,65820"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2008";"56,32459";"107,85614"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2008";"56,16660";"106,86436"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2008";"53,48071";"101,40957"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2008";"54,27068";"101,53354"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2008";"56,48258";"105,25272"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2008";"109,17333";"199,71983"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2009";"48,18794";"89,26026"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2009";"39,89329";"74,13560"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2009";"46,52901";"85,41711"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2009";"51,42680";"93,22738"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2009";"62,80231";"112,44313"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2009";"64,93522";"115,41847"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2009";"59,08947";"105,50067"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2009";"56,48258";"100,78971"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2009";"53,32272";"94,71505"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2009";"59,80044";"105,50067"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2009";"62,80231";"110,45957"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2009";"122,20777";"211,86914"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2010";"52,21676";"91,24382"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2010";"46,76600";"82,44177"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2010";"56,56158";"98,80615"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2010";"63,03930";"108,72395"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2010";"73,94083";"125,83217"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2010";"71,01796";"120,37737"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2010";"70,07000";"119,01368"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2010";"66,98913";"113,93080"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2010";"63,03930";"106,86436"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2010";"68,96405";"116,03833"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2010";"72,36090";"120,62532"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2010";"142,82589";"232,57256"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2011";"60,82740";"100,16984"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2011";"56,95656";"94,09519"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2011";"63,75027";"104,38491"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2011";"68,64806";"110,33560"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2011";"83,65742";"132,77463"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2011";"85,63233";"134,01436"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2011";"77,02170";"120,62532"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2011";"73,86184";"114,92258"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2011";"69,51702";"107,60820"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2011";"73,70384";"113,43491"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2011";"78,75963";"121,12121"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2011";"155,62334";"234,30818"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2012";"65,33020";"101,65752"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2012";"58,53649";"91,11985"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2012";"69,51702";"108,84793"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2012";"70,07000";"108,84793"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2012";"89,81916";"138,10545"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2012";"88,00223";"134,75819"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2012";"83,02545";"127,44381"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2012";"81,20852";"124,59244"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2012";"74,49381";"113,31094"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2012";"78,60164";"118,64176"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2012";"86,18531";"129,05546"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2012";"164,39196";"243,23420"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2013";"71,64993";"106,98834"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2013";"61,61736";"91,49176"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2013";"77,49568";"115,17053"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2013";"81,44551";"120,00546"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2013";"95,34892";"139,46915"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2013";"89,81916";"130,54313"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2013";"92,50504";"135,13011"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2013";"88,63421";"129,17943"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2013";"78,60164";"113,80683"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2013";"85,79033";"122,98080"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2013";"96,45487";"136,98970"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2013";"178,13737";"250,67256"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2014";"77,96966";"110,21162"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2014";"69,35903";"98,06231"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2014";"75,59976";"106,74039"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2014";"80,89254";"113,80683"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2014";"102,14263";"142,32052"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2014";"91,79407";"127,31984"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2014";"93,13701";"129,55135"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2014";"91,87307";"128,18765"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2014";"82,15648";"113,80683"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2014";"89,81916";"123,72463"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2014";"101,51065";"139,46915"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2014";"178,13737";"242,24242"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2015";"79,94458";"109,46779"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2015";"65,80418";"90,74793"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2015";"77,17970";"105,50067"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2015";"77,65368";"105,25272"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2015";"97,32383";"131,16299"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2015";"90,76711";"121,49313"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2015";"88,55521";"119,01368"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2015";"82,47247";"110,58354"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2015";"74,49381";"99,17806"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2015";"83,73642";"110,70751"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2015";"89,89815";"117,77395"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2015";"168,49979";"218,81160"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2016";"73,38786";"95,33491"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2016";"62,01235";"80,33423"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2016";"69,59602";"89,38423"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2016";"74,09883";"94,83902"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2016";"89,50317";"113,31094"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2016";"92,42604";"116,78217"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2016";"80,57655";"102,27738"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2016";"77,89067";"98,93012"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2016";"70,22799";"89,01231"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2016";"77,02170";"97,19450"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2016";"84,36839";"106,24450"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2016";"158,78320";"199,59585"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2017";"75,26384";"94,54441"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2017";"66,19388";"83,26028"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2017";"79,11561";"99,77831"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2017";"83,85467";"105,11925"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2017";"95,98189";"119,10749"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2017";"98,30298";"121,72125"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2017";"94,58289";"117,63423"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2017";"87,24600";"108,21905"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2017";"80,94970";"100,16338"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2017";"82,94451";"101,83645"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2017";"94,23056";"115,66948"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2017";"175,30544";"213,39452"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2018";"77,43896";"95,07739"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2018";"64,58615";"79,64622"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2018";"80,73420";"99,38174"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2018";"80,18488";"97,88120"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2018";"94,82937";"115,17624"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2018";"97,21878";"118,31046"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2018";"88,24516";"108,25467"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2018";"91,28962";"111,77358"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2018";"83,07678";"101,72484"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2018";"87,31142";"106,37969"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2018";"99,63419";"122,04426"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2018";"174,67323";"211,25652"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2019";"76,82207";"93,74578"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2019";"72,03496";"88,23389"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2019";"77,49849";"94,62565"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2019";"77,89337";"94,73752"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2019";"93,55051";"113,75298"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2019";"96,29598";"116,47795"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2019";"94,86608";"115,32019"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2019";"89,15417";"108,00519"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2019";"82,77166";"100,13624"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2019";"90,60739";"108,81805"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2019";"103,59734";"124,01576"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2019";"175,79681";"211,03645"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2020";"79,92866";"96,20591"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2020";"73,23797";"88,92014"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2020";"47,10646";"57,09726"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2020";"15,02107";"18,21854"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2020";"34,78772";"42,43338"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2020";"53,97673";"65,66060"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2020";"65,00146";"79,41934"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2020";"82,01796";"101,39330"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2020";"75,69097";"93,24887"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2020";"87,10974";"106,29844"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2020";"98,25782";"119,71851"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2020";"157,71160";"191,84138"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2021";"62,71020";"75,81353"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2021";"59,88822";"72,17644"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2021";"40,40834";"48,75205"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2021";"60,94147";"73,10300"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2021";"94,47210";"112,54250"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2021";"90,27431";"105,97087"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2021";"96,72619";"112,78729"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2021";"88,43184";"102,49985"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2021";"80,91459";"93,54528"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2021";"91,83625";"104,18582"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2021";"101,75608";"114,46151"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2021";"171,82476";"189,86423"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2022";"71,36701";"77,63343"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2022";"72,36611";"78,12086"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2022";"83,21344";"88,36943"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2022";"93,27565";"97,90260"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2022";"119,01505";"122,14836"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2022";"107,52873";"108,34343"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2022";"94,24743";"94,49906"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2022";"98,16103";"96,90521"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2022";"87,49810";"84,64984"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2022";"92,62504";"88,54056"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2022";"101,12108";"95,66476"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2022";"179,58133";"167,22246"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2023";"84,93392";"79,49329"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2023";"75,83799";"71,15346"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2023";"87,60608";"81,88834"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2023";"93,85287";"86,91740"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2023";"108,27369";"99,93040"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2023";"110,31305";"101,51648"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2023";"103,76419";"95,76869"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2023";"98,14149";"90,17559"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2023";"89,87530";"82,35032"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2023";"94,01928";"85,85185"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2023";"110,41853";"101,17497"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2023";"185,12953";"168,17360"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2024";"87,60510";"79,91317"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2024";"77,31627";"70,80555"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2024";"88,74878";"81,13085"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"abril 2024";"92,04871";"83,69689"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"maio 2024";"112,64742";"101,95159"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"junho 2024";"112,11639";"101,53330"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"julho 2024";"111,53797";"101,16036"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"agosto 2024";"105,66865";"95,40884"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"setembro 2024";"94,37517";"85,19870"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"outubro 2024";"102,90364";"92,64887"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"novembro 2024";"121,57472";"109,52358"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"dezembro 2024";"195,82518";"174,17234"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"janeiro 2025";"91,44014";"81,85349"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"fevereiro 2025";"85,88446";"76,90805"
"BR";"1";"Brasil";"Tecidos, vestuário e calçados";"março 2025";"92,16676";"82,01511"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"janeiro 2004";"26,20697";"36,71803"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"fevereiro 2004";"23,79224";"33,26591"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"março 2004";"27,69843";"38,39179"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"abril 2004";"27,13025";"37,55491"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"maio 2004";"32,38585";"44,77298"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"junho 2004";"29,82907";"41,00703"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"julho 2004";"31,74666";"43,51767"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"agosto 2004";"31,67564";"43,30845"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"setembro 2004";"29,61601";"40,27476"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"outubro 2004";"32,88300";"44,45915"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"novembro 2004";"34,16139";"45,92369"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"dezembro 2004";"56,46217";"75,63287"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"janeiro 2005";"33,09607";"43,93610"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"fevereiro 2005";"29,40294";"38,81023"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"março 2005";"34,30343";"45,19142"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"abril 2005";"35,58182";"46,55135"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"maio 2005";"40,69538";"53,03715"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"junho 2005";"38,35167";"49,68964"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"julho 2005";"39,20393";"50,73574"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"agosto 2005";"39,13290";"50,52652"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"setembro 2005";"34,87161";"45,19142"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"outubro 2005";"38,13860";"49,68964"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"novembro 2005";"40,12721";"52,61872"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"dezembro 2005";"63,06718";"82,74633"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"janeiro 2006";"37,92554";"49,48042"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"fevereiro 2006";"32,38585";"42,47157"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"março 2006";"38,20962";"50,10808"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"abril 2006";"36,15000";"47,91128"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"maio 2006";"45,80893";"61,09211"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"junho 2006";"38,13860";"51,25879"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"julho 2006";"38,28064";"51,57262"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"agosto 2006";"41,40559";"55,96623"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"setembro 2006";"40,19823";"54,50169"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"outubro 2006";"43,03909";"58,68608"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"novembro 2006";"44,17544";"60,25523"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"dezembro 2006";"64,20353";"87,76760"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"janeiro 2007";"44,95667";"61,30133"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"fevereiro 2007";"36,86021";"50,63113"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"março 2007";"42,89705";"58,99991"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"abril 2007";"39,41699";"54,18786"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"maio 2007";"49,00491";"67,47330"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"junho 2007";"42,89705";"59,52296"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"julho 2007";"43,74931";"60,98750"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"agosto 2007";"47,08732";"65,59033"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"setembro 2007";"44,10442";"61,40594"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"outubro 2007";"47,93958";"66,84564"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"novembro 2007";"49,57308";"69,67011"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"dezembro 2007";"69,24606";"98,01936"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"janeiro 2008";"50,21227";"71,13465"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"fevereiro 2008";"43,46522";"61,82438"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"março 2008";"46,94528";"67,47330"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"abril 2008";"48,08163";"69,25167"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"maio 2008";"54,40255";"78,35272"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"junho 2008";"47,86856";"69,14706"
"BR";"1";"Brasil";"Móveis e eletrodomésticos";"julho 2008";"50,63840";"73,01762"
