"Nível";"Cód.";"";"Mês";""
"BR";"1";"Brasil";"abril 2020";"5331,9100000000000"
"BR";"1";"Brasil";"maio 2020";"5311,6500000000000"
"BR";"1";"Brasil";"junho 2020";"5325,4600000000000"
"BR";"1";"Brasil";"julho 2020";"5344,6300000000000"
"BR";"1";"Brasil";"agosto 2020";"5357,4600000000000"
"BR";"1";"Brasil";"setembro 2020";"5391,7500000000000"
"BR";"1";"Brasil";"outubro 2020";"5438,1200000000000"
"BR";"1";"Brasil";"novembro 2020";"5486,5200000000000"
"BR";"1";"Brasil";"dezembro 2020";"5560,5900000000000"
"BR";"1";"Brasil";"janeiro 2021";"5574,4900000000000"
"BR";"1";"Brasil";"fevereiro 2021";"5622,4300000000000"
"BR";"1";"Brasil";"março 2021";"5674,7200000000000"
"BR";"1";"Brasil";"abril 2021";"5692,3100000000000"
"BR";"1";"Brasil";"maio 2021";"5739,5600000000000"
"BR";"1";"Brasil";"junho 2021";"5769,9800000000000"
"BR";"1";"Brasil";"julho 2021";"5825,3700000000000"
"BR";"1";"Brasil";"agosto 2021";"5876,0500000000000"
"BR";"1";"Brasil";"setembro 2021";"5944,2100000000000"
"BR";"1";"Brasil";"outubro 2021";"6018,5100000000000"
"BR";"1";"Brasil";"novembro 2021";"6075,6900000000000"
"BR";"1";"Brasil";"dezembro 2021";"6120,0400000000000"
"BR";"1";"Brasil";"janeiro 2022";"6153,0900000000000"
"BR";"1";"Brasil";"fevereiro 2022";"6215,2400000000000"
"BR";"1";"Brasil";"março 2022";"6315,9300000000000"
"BR";"1";"Brasil";"abril 2022";"6382,8800000000000"
"BR";"1";"Brasil";"maio 2022";"6412,8800000000000"
"BR";"1";"Brasil";"junho 2022";"6455,8500000000000"
"BR";"1";"Brasil";"julho 2022";"6411,9500000000000"
"BR";"1";"Brasil";"agosto 2022";"6388,8700000000000"
"BR";"1";"Brasil";"setembro 2022";"6370,3400000000000"
"BR";"1";"Brasil";"outubro 2022";"6407,9300000000000"
"BR";"1";"Brasil";"novembro 2022";"6434,2000000000000"
"BR";"1";"Brasil";"dezembro 2022";"6474,0900000000000"
"BR";"1";"Brasil";"janeiro 2023";"6508,4000000000000"
"BR";"1";"Brasil";"fevereiro 2023";"6563,0700000000000"
"BR";"1";"Brasil";"março 2023";"6609,6700000000000"
"BR";"1";"Brasil";"abril 2023";"6649,9900000000000"
"BR";"1";"Brasil";"maio 2023";"6665,2800000000000"
"BR";"1";"Brasil";"junho 2023";"6659,9500000000000"
